枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,シアブリス,牝,4,56.0,丹内 祐次,黒岩 陽一(美浦),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
2,2,コンフォルツァ,牡,3,55.0,横山 典弘,松永 幹夫(栗東),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
3,3,ツーエムクロノス,牡,3,54.0,松本 大輝,本田 優(栗東),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
4,4,スピンザブラッド,牡,4,58.0,横山 武史,萩原 清(美浦),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
5,5,モアリジット,牡,4,55.0,森田 誠也,西村 真幸(栗東),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
6,6,ハニードレス,牝,3,53.0,佐々木 大輔,牧 光二(美浦),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
7,7,ハートメテオ,牝,3,53.0,鮫島 克駿,笹田 和秀(栗東),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
7,8,ブラックバラード,せん,4,58.0,菱田 裕二,嘉藤 貴行(美浦),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
8,9,スペシャルバニー,牝,3,53.0,斎藤 新,田村 康仁(美浦),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
8,10,シンゼンカガ,牡,3,55.0,武 豊,荒川 義之(栗東),2501010307,2025年8月2日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1800,1勝
