枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ジーティーララバイ,牝,3,55.0,吉田 隼人,矢作 芳人(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
2,2,インターアーバン,牡,3,57.0,団野 大成,野中 賢二(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
2,3,ナイスガイ,牡,3,54.0,鷲頭 虎太,河嶋 宏樹(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
3,4,メイショウカジボウ,牡,3,54.0,和田 陽希,笹田 和秀(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
3,5,スエズマックス,牡,3,57.0,藤懸 貴志,田中 克典(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
4,6,ハッピーダンチャン,牡,3,57.0,和田 竜二,小椋 研介(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
4,7,タイセイバンクール,牡,3,57.0,岩田 望来,西村 真幸(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
5,8,ストームリッシュ,牡,3,57.0,菱田 裕二,岡田 稲男(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
5,9,クリノバーグマン,牡,3,57.0,幸 英明,谷 潔(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
6,10,テイエムカナロア,牡,3,57.0,田中 健,浜田 多実雄(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
6,11,サトノアルタイル,牡,3,57.0,斎藤 新,斎藤 誠(美浦),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
7,12,ペプチドモガミ,せん,3,57.0,小崎 綾也,武 英智(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
7,13,サンライズフーガ,牡,3,57.0,高倉 稜,前川 恭子(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
8,14,ゼンエスポワール,牡,3,57.0,角田 大和,飯田 祐史(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
8,15,キタノタラーシュ,牡,3,57.0,中井 裕二,坂口 智康(栗東),2509030204,2025年6月8日（日）,阪神,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
