枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,スコーピオン ,牡,4,57.0,武藤 雅,武藤 善則(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
1,2,ニシノコニャック ,牡,6,57.0,菊沢 一樹,伊藤 大士(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
2,3,カフジテトラゴン ,牝,6,55.0,戸崎 圭太,武 英智(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
2,4,シロン ,牝,6,55.0,国分 恭介,小栗 実(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
3,5,クムシラコ ,牡,7,57.0,杉原 誠人,千葉 直人(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
3,6,ピューロマジック ,牝,4,55.0,C.ルメール,安田 翔伍(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
4,7,ショウナンハクラク ,牡,6,57.0,三浦 皇成,松下 武士(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
4,8,コラソンビート ,牝,4,55.0,津村 明秀,加藤 士津八(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
5,9,ニシノトキメキ ,牝,5,55.0,今村 聖奈,小手川 準(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
5,10,ウイングレイテスト ,牡,8,58.0,松岡 正海,畠山 吉宏(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
6,11,エランティス ,牝,5,55.0,加藤 祥太,杉山 晴紀(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
6,12,ファロロジー ,牝,6,55.0,吉田 豊,中舘 英二(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
7,13,テイエムスパーダ ,牝,6,56.0,斎藤 新,小椋 研介(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
7,14,キタノブレイド ,牡,6,57.0,小林 脩斗,萱野 浩二(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
7,15,ブーケファロス ,牡,5,57.0,菅原 明良,清水 英克(美浦),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
8,16,カルロヴェローチェ ,せん,5,57.0,丸山 元気,須貝 尚介(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
8,17,デュガ ,せん,6,57.0,江田 照男,森 秀行(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
8,18,モズメイメイ ,牝,5,56.0,高杉 吏麒,前川 恭子(栗東),2504020407,2025年8月3日（日）,新潟,15:45,アイビスサマーダッシュGIII,7R
