枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,カフェグランデ,牡,4,58.0,横山 典弘,嘉藤 貴行(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
2,2,ヴォランテ,牡,5,58.0,菅原 明良,羽月 友彦(栗東),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
2,3,ミスタージーティー,牡,4,58.0,津村 明秀,矢作 芳人(栗東),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
3,4,ショーマンフリート,牡,4,58.0,丸山 元気,手塚 貴久(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
3,5,タイセイフェリーク,牝,5,56.0,大野 拓弥,田中 克典(栗東),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
4,6,ギャンブルルーム,牡,4,58.0,M.デムーロ,大久保 龍志(栗東),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
4,7,エンドロール,牡,6,58.0,原 優介,青木 孝文(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
5,8,リミットバスター,牡,5,58.0,荻野 極,杉山 晴紀(栗東),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
5,9,アドマイヤサジー,牝,5,56.0,団野 大成,宮田 敬介(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
6,10,ルドヴィクス,牡,7,58.0,石橋 脩,久保田 貴士(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
6,11,メイテソーロ,牡,5,58.0,横山 琉人,武市 康男(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
7,12,アームブランシュ,牡,5,58.0,吉田 豊,竹内 正洋(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
7,13,ウィープディライト,せん,4,58.0,石川 裕紀人,池添 学(栗東),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
8,14,シリアルノヴェル,せん,5,58.0,木幡 巧也,伊藤 圭三(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
8,15,シンハナーダ,牡,4,58.0,三浦 皇成,国枝 栄(美浦),2505030410,2025年6月15日（日）,東京,14:50,江の島ステークス,10R,芝2400,3勝
