枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ジャンヌローサ ,牝,4,56.0,小沢 大仁,井上 智史(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
1,2,ナムライリス ,牝,4,52.0,河原田 菜々,中竹 和也(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
2,3,イリフィ ,牝,3,53.0,幸 英明,高野 友和(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
2,4,レイザリオ ,牡,3,55.0,田口 貫太,橋口 慎介(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
3,5,ディスタントスカイ ,牡,4,58.0,角田 大和,角田 晃一(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
3,6,エクストラバック ,牡,4,58.0,団野 大成,西園 正都(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
4,7,スピリットライズ ,せん,3,55.0,亀田 温心,高柳 大輔(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
4,8,チムグクル ,牡,3,55.0,小崎 綾也,福永 祐一(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
5,9,バンディート ,牡,5,58.0,松若 風馬,東田 明士(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
5,10,ノボリリア ,牝,3,53.0,酒井 学,石橋 守(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
6,11,ワイルデンウーリー ,牝,3,53.0,松山 弘平,大久保 龍志(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
6,12,メイショウタマユラ ,牝,3,51.0,永島 まなみ,大橋 勇樹(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
7,13,レオンバローズ ,牡,6,58.0,岩田 康誠,渡辺 薫彦(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
7,14,ショウナンラウール ,牝,4,53.0,田山 旺佑,高橋 義忠(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
7,15,ピアストイヤーズ ,牡,3,55.0,国分 優作,小崎 憲(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
8,16,ヴァージル ,牡,3,55.0,坂井 瑠星,杉山 晴紀(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
8,17,コモンスナイプ ,牡,3,54.0,吉村 誠之助,藤岡 健一(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
8,18,ヒルノセビリア ,牝,4,56.0,太宰 啓介,昆 貢(栗東),2507030412,2025年8月3日（日）,中京,18:15,サラ系3歳上500万円以下,12R
