枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ユウファラオ,牡,2,55.0,坂井 瑠星,森 秀行(栗東),2510020102,2025年6月28日（土）,小倉,10:35,サラ系2歳未勝利,2R,芝1200,未勝利
2,2,ラブルラウザー,牝,2,55.0,川田 将雅,大久保 龍志(栗東),2510020102,2025年6月28日（土）,小倉,10:35,サラ系2歳未勝利,2R,芝1200,未勝利
3,3,エボニードール,牝,2,55.0,松山 弘平,寺島 良(栗東),2510020102,2025年6月28日（土）,小倉,10:35,サラ系2歳未勝利,2R,芝1200,未勝利
4,4,トライアンフパス,牝,2,55.0,和田 竜二,宮 徹(栗東),2510020102,2025年6月28日（土）,小倉,10:35,サラ系2歳未勝利,2R,芝1200,未勝利
5,5,メイワキラリ,牡,2,54.0,吉村 誠之助,河嶋 宏樹(栗東),2510020102,2025年6月28日（土）,小倉,10:35,サラ系2歳未勝利,2R,芝1200,未勝利
6,6,トモジャプレジール,牡,2,55.0,国分 優作,大根田 裕之(栗東),2510020102,2025年6月28日（土）,小倉,10:35,サラ系2歳未勝利,2R,芝1200,未勝利
