枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,アスコットレイ,牝,3,54.0,松本 大輝,粕谷 昌央(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
2,2,マサノイロハ,牡,3,54.0,和田 陽希,藤野 健太(栗東),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
2,3,ペールノエル,牡,3,57.0,丹内 祐次,西村 真幸(栗東),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
3,4,デルマジュテーム,牝,3,55.0,的場 勇人,的場 均(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
3,5,シカレ,牝,3,55.0,佐々木 大輔,前川 恭子(栗東),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
4,6,ナリノボガート,牡,3,57.0,原田 和真,上原 博之(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
4,7,シュエットアムール,牝,3,55.0,横山 和生,西田 雄一郎(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
5,8,バトラーズワーフ,牡,3,57.0,鮫島 克駿,浅利 英明(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
5,9,クラシカルカイザー,牡,3,53.0,小林 美駒,稲垣 幸雄(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
6,10,デンジエンド,牡,3,54.0,舟山 瑠泉,小島 茂之(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
6,11,マイネルラカイユ,牡,3,57.0,黛 弘人,天間 昭一(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
7,12,スティーヴバローズ,牡,3,57.0,横山 武史,上原 佑紀(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
7,13,ゴートゥーミジョカ,牝,3,52.0,柴田 裕一郎,宮本 博(栗東),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
8,14,シヴァールバーニ,牡,3,54.0,古川 奈穂,池江 泰寿(栗東),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
8,15,ロパシック,牝,3,55.0,池添 謙一,大竹 正博(美浦),2502011006,2025年7月13日（日）,函館,12:45,サラ系3歳未勝利,6R,芝2000,未勝利
