枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ガストフロント ,牡,3,57.0,武藤 雅,水野 貴広(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
2,2,アンダーザブリッジ ,せん,3,57.0,大野 拓弥,尾関 知人(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
2,3,オブシディアーナ ,牝,3,52.0,石田 拓郎,国枝 栄(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
3,4,アイファーシャドー ,牡,3,57.0,野中 悠太郎,根本 康広(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
3,5,アンエクスプロード ,牡,3,57.0,三浦 皇成,池上 昌和(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
4,6,タブロー ,牝,3,55.0,内田 博幸,矢野 英一(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
4,7,ウインレアリゼ ,牝,3,52.0,石神 深道,小手川 準(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
5,8,アイアンオバーカム ,牝,3,55.0,柴田 大知,南田 美知雄(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
5,9,ペイシャブギー ,牝,3,55.0,菊沢 一樹,本間 忍(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
6,10,エレレラナキラ ,牡,3,57.0,石橋 脩,牧 光二(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
6,11,マロンカラノテガミ ,牝,3,55.0,斎藤 新,清水 英克(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
7,12,ハズムリズム ,牡,3,54.0,水沼 元輝,土田 稔(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
7,13,ニジノカナタニ ,牝,3,53.0,今村 聖奈,中川 公成(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
8,14,プロヴァー ,牡,3,57.0,菅原 隆一,鈴木 慎太郎(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
8,15,ハイエストランク ,牝,3,52.0,遠藤 汰月,武藤 善則(美浦),2504020405,2025年8月3日（日）,新潟,11:50,サラ系3歳未勝利,5R
