枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,モンシェリ,牝,4,56.0,横山 武史,牧田 和弥(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
2,2,スパークルジョイ,牝,4,53.0,古川 奈穂,前川 恭子(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
3,3,グランカメリア,牡,3,51.0,小林 美駒,吉田 直弘(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
4,4,ジャスパーソレイユ,牡,3,54.0,松本 大輝,森 秀行(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
5,5,メイショウハッブル,牡,4,58.0,鮫島 克駿,石橋 守(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
5,6,スノーホルンロード,せん,6,58.0,佐々木 大輔,清水 英克(美浦),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
6,7,サウンドモリアーナ,牝,3,53.0,武 豊,武 英智(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
6,8,エコロレオナ,牝,3,50.0,和田 陽希,森 秀行(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
7,9,スイッチオン,牡,5,55.0,柴田 裕一郎,小手川 準(美浦),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
7,10,テイオームサシ,牡,3,55.0,荻野 琢真,秋山 真一郎(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
8,11,ゴレイジョウ,牝,5,53.0,森田 誠也,和田 雄二(美浦),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
8,12,メイショウホダワラ,牝,3,53.0,丹内 祐次,荒川 義之(栗東),2502010807,2025年7月6日（日）,函館,13:15,サラ系3歳上500万円以下,7R,ダ1000,1勝
