枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ヴァリオーサ ,牝,3,55.0,坂井 瑠星,武 幸四郎(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
1,2,クロシオカレント ,牡,3,57.0,松若 風馬,東田 明士(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
2,3,ヤヌシサンダー ,牡,3,57.0,岩田 康誠,牧田 和弥(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
2,4,ペルティナクス ,牡,3,53.0,河原田 菜々,池江 泰寿(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
3,5,ディープカインズ ,牡,3,57.0,太宰 啓介,本田 優(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
3,6,クリノバーグマン ,牡,3,57.0,田口 貫太,谷 潔(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
4,7,メイショウアイル ,牡,3,57.0,秋山 稔樹,高橋 義忠(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
4,8,エーデルワイス ,牝,3,55.0,幸 英明,渡辺 薫彦(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
5,9,ワイドクリーガー ,牡,3,57.0,松山 弘平,奥村 豊(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
5,10,サンライズフーガ ,牡,3,57.0,高倉 稜,前川 恭子(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
6,11,ラムセス ,牡,3,56.0,吉村 誠之助,清水 久詞(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
6,12,シーラスストリーク ,牝,3,55.0,A.バデル,武 英智(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
7,13,アーリドラータ ,牡,3,54.0,田山 旺佑,小栗 実(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
7,14,マンノミューズ ,牝,3,55.0,角田 大和,角田 晃一(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
8,15,ヒロニャン ,牡,3,57.0,中井 裕二,今野 貞一(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
8,16,ハックルベリー ,牡,3,57.0,団野 大成,加藤 公太(栗東),2507030404,2025年8月3日（日）,中京,11:10,サラ系3歳未勝利,4R
