枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ペッレグリーニ,牡,4,55.0,内田 博幸,手塚 貴久(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
2,2,デルバイス,牡,6,52.0,嶋田 純次,南田 美知雄(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
3,3,アンビバレント,牡,5,54.0,石川 裕紀人,藤野 健太(栗東),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
4,4,デンクマール,牡,3,55.0,C.ルメール,田中 博康(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
5,5,コートアリシアン,牝,3,54.0,菅原 明良,伊藤 大士(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
6,6,メタルスピード,牡,5,56.0,三浦 皇成,斎藤 誠(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
6,7,テラメリタ,牝,4,54.0,戸崎 圭太,須貝 尚介(栗東),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
7,8,シャンパンマーク,牡,4,55.0,原 優介,蛯名 正義(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
7,9,エイムフォーエース,牡,4,55.0,R.キング,武井 亮(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
8,10,メイショウヨゾラ,牝,4,54.0,吉田 豊,高柳 瑞樹(美浦),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
8,11,チェルノボーグ,せん,6,57.0,西塚 洸二,藤原 英昭(栗東),2504020206,2025年7月27日（日）,新潟,15:10,豊栄特別,6R,芝1600,2勝
