枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,スフレ ,牝,3,55.0,武 豊,野中 賢二(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
2,2,ハーイバービー ,牝,3,52.0,和田 陽希,畑端 省吾(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
3,3,マナミン ,牝,3,52.0,橋木 太希,高橋 康之(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
3,4,ジーティーファラオ ,牡,3,57.0,鮫島 克駿,矢作 芳人(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
4,5,エンドレスバンカー ,牡,3,56.0,松本 大輝,安田 翔伍(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
4,6,ダイハッシュウ ,牡,3,54.0,森田 誠也,牧田 和弥(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
5,7,エンジョイドライブ ,牡,3,57.0,古川 吉洋,宮本 博(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
5,8,ザハント ,牡,3,57.0,横山 武史,田中 克典(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
6,9,アトラクトラン ,牡,3,54.0,小林 美駒,渡辺 薫彦(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
6,10,オドラニャソンソン ,牡,3,54.0,舟山 瑠泉,東田 明士(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
7,11,マーゴットビースト ,牡,3,57.0,佐々木 大輔,伊坂 重信(美浦),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
7,12,ドバイミッション ,牡,3,57.0,菱田 裕二,辻野 泰之(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
8,13,スピードイエロー ,牡,3,55.0,鷲頭 虎太,佐々木 晶三(栗東),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
8,14,エポカリーナ ,牡,3,54.0,古川 奈穂,土田 稔(美浦),2501010404,2025年8月3日（日）,札幌,11:30,サラ系3歳未勝利,4R
