枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ゴールドパートナー,牡,3,57.0,横山 和生,嘉藤 貴行(美浦),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
2,2,フジュム,せん,3,54.0,森田 誠也,茶木 太樹(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
3,3,ヒシカリナン,牡,3,57.0,武 豊,矢作 芳人(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
3,4,ハッピールンナ,牝,3,55.0,古川 吉洋,大根田 裕之(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
4,5,モリノアミーゴ,牝,3,51.0,小林 美駒,鈴木 伸尋(美浦),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
4,6,グレインワーク,牡,3,54.0,和田 陽希,池添 学(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
5,7,エマージェンス,牡,3,57.0,佐々木 大輔,堀内 岳志(美浦),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
5,8,ヴァサヴォワール,牡,3,54.0,舟山 瑠泉,宮田 敬介(美浦),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
6,9,ノイシュタット,牡,3,57.0,丹内 祐次,牧 光二(美浦),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
6,10,エポカリーナ,牡,3,54.0,古川 奈穂,土田 稔(美浦),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
7,11,サンライズミモザ,せん,3,56.0,松本 大輝,安田 翔伍(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
7,12,キムタックフェイス,牡,3,57.0,菱田 裕二,森田 直行(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
8,13,ザハント,牡,3,57.0,横山 武史,田中 克典(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
8,14,エルフェニックス,牡,3,57.0,鮫島 克駿,浜田 多実雄(栗東),2502011106,2025年7月19日（土）,函館,12:45,サラ系3歳未勝利,6R,ダ1700,未勝利
