枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,タイセイルシエル,牡,3,57.0,国分 優作,松下 武士(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
2,2,グロウミニョン,牝,3,52.0,和田 陽希,佐藤 悠太(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
3,3,ジョイボーイ,牡,3,57.0,藤岡 佑介,四位 洋文(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
4,4,ジャックオダモ,牡,3,56.0,高杉 吏麒,矢作 芳人(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
4,5,ヤマニンヒストリア,牡,3,56.0,吉村 誠之助,中村 直也(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
5,6,シカレ,牝,3,53.0,今村 聖奈,前川 恭子(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
5,7,コパカバーナ,牝,3,55.0,小沢 大仁,森田 直行(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
6,8,セキトバシューズ,牝,3,52.0,田山 旺佑,新谷 功一(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
6,9,モルゲンゾンネ,牡,3,56.0,松本 大輝,松下 武士(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
7,10,プレデスティナーレ,牡,3,57.0,和田 竜二,北出 成人(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
7,11,ジーティートシオー,牡,3,57.0,鮫島 克駿,西村 真幸(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
8,12,ヴァリラプトル,牝,3,55.0,幸 英明,高野 友和(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
8,13,アンアルモニー,牝,3,55.0,岩田 康誠,辻野 泰之(栗東),2508021205,2025年6月1日（日）,京都,12:25,サラ系3歳未勝利,5R,芝2400,未勝利
