枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,キタノゲルニカ,牡,3,57.0,小林 凌大,小西 一男(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
2,2,アミラジオネ,牝,3,52.0,水沼 元輝,西田 雄一郎(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
2,3,ワンダーレジット,牡,3,54.0,石田 拓郎,斎藤 誠(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
3,4,グレートシューター,牡,3,54.0,遠藤 汰月,伊藤 伸一(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
3,5,ウィルマテソーロ,牝,3,55.0,木幡 巧也,稲垣 幸雄(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
4,6,メイデンヘッド,牝,3,55.0,丸田 恭介,大竹 正博(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
4,7,ケイツータンカ,牡,3,53.0,谷原 柚希,清水 英克(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
5,8,マミーブルー,牝,3,52.0,佐藤 翔馬,杉浦 宏昭(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
5,9,アイドル,牝,3,55.0,津村 明秀,上原 佑紀(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
6,10,スマイルインザサン,牝,3,55.0,原 優介,堀内 岳志(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
6,11,ポム,牝,3,55.0,菅原 明良,奥村 武(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
7,12,エレレラナキラ,牡,3,57.0,石橋 脩,牧 光二(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
7,13,フランシナテソーロ,牝,3,55.0,柴田 大知,畠山 吉宏(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
8,14,ホウオウブライツ,牡,3,57.0,横山 琉人,稲垣 幸雄(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
8,15,ダイメイナガス,牝,3,55.0,菊沢 一樹,本間 忍(美浦),2503020807,2025年7月20日（日）,福島,13:35,サラ系3歳未勝利,7R,ダ1150,未勝利
