枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ラセーヌシュメール,牝,4,56.0,佐々木 大輔,杉浦 宏昭(美浦),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
2,2,メラヴィリオーザ,牝,5,56.0,黛 弘人,秋山 真一郎(栗東),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
3,3,カルミネイション,牝,3,50.0,和田 陽希,緒方 努(栗東),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
4,4,テンペストヒロイン,牝,3,50.0,鷲頭 虎太,堀内 岳志(美浦),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
5,5,ハイファイスピード,牝,3,53.0,横山 武史,宮本 博(栗東),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
6,6,シャインズオンユー,牡,4,58.0,古川 吉洋,藤野 健太(栗東),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
7,7,ジャグアール,牡,4,58.0,松岡 正海,矢野 英一(美浦),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
8,8,イリュージョン,牝,5,56.0,藤岡 佑介,西田 雄一郎(美浦),2501010107,2025年7月26日（土）,札幌,13:20,サラ系3歳上500万円以下,7R,芝1200,1勝
