枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ドゥラレジリエント,牡,5,57.0,吉村 誠之助,牧田 和弥(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
1,2,ホールシバン,せん,7,58.0,秋山 稔樹,高橋 義忠(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
2,3,メイクアリープ,牡,6,58.0,幸 英明,大根田 裕之(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
2,4,パラシュラーマ,牡,5,57.0,松若 風馬,浜田 多実雄(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
3,5,グーデンドラーク,牡,6,57.0,北村 友一,池添 学(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
3,6,ロコポルティ,牡,7,58.0,酒井 学,西園 正都(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
4,7,ジャスパーロブスト,せん,4,57.0,松山 弘平,森 秀行(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
4,8,ハギノアトラス,せん,9,57.0,亀田 温心,宮地 貴稔(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
5,9,モズミギカタアガリ,牝,4,55.0,高杉 吏麒,藤岡 健一(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
5,10,ドゥアイズ,牝,5,56.0,坂井 瑠星,庄野 靖志(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
6,11,アイファーテイオー,牡,5,57.0,藤懸 貴志,井上 智史(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
6,12,ローズスター,牡,5,57.0,団野 大成,上村 洋行(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
7,13,サーマルソアリング,牝,5,55.0,西塚 洸二,藤原 英昭(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
7,14,ピースオブザライフ,牝,5,55.0,田口 貫太,野中 賢二(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
8,15,マリオロード,牡,6,57.0,小沢 大仁,安達 昭夫(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
8,16,コパノニコルソン,牡,6,57.0,菱田 裕二,宮 徹(栗東),2510020611,2025年7月13日（日）,小倉,15:35,阿蘇ステークス,11R,ダ1700,ｵｰﾌﾟﾝ
