枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,トロピカルライト,牝,5,56.0,丸田 恭介,武藤 善則(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
2,2,エコロレイズ,牡,4,58.0,菅原 明良,岩戸 孝樹(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
3,3,マルカブリッツ,牡,5,58.0,津村 明秀,福永 祐一(栗東),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
4,4,ロードオールライト,牡,4,58.0,内田 博幸,中内田 充正(栗東),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
5,5,サトノスカイターフ,牡,7,58.0,荻野 極,池江 泰寿(栗東),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
5,6,ブラックボイス,牡,6,58.0,杉原 誠人,宮田 敬介(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
6,7,ミヤビブレイブ,牝,5,56.0,横山 琉人,小島 茂之(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
6,8,キャルレイ,牡,6,58.0,石川 裕紀人,鹿戸 雄一(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
7,9,アルベリック,牡,4,58.0,国分 恭介,中竹 和也(栗東),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
7,10,エアロソニック,牡,4,58.0,石田 拓郎,鈴木 慎太郎(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
8,11,ソワドリヨン,牝,5,56.0,武藤 雅,古賀 慎明(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
8,12,ウインマイルート,牡,6,58.0,三浦 皇成,鈴木 慎太郎(美浦),2503020509,2025年7月12日（土）,福島,14:35,信夫山特別,9R,芝2600,2勝
