枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ステイアンビシャス,牡,3,57.0,松岡 正海,堀内 岳志(美浦),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
2,2,ケイアイワイラーパ,牡,3,57.0,武 豊,野中 賢二(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
3,3,ピストルスター,牡,3,57.0,北村 友一,高橋 亮(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
4,4,メムエクラ,牝,3,55.0,野中 悠太郎,高木 登(美浦),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
5,5,ドラギニャン,牡,3,57.0,丹内 祐次,河嶋 宏樹(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
5,6,マージャング,牡,3,57.0,吉田 隼人,矢作 芳人(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
6,7,ライジングショット,牡,3,57.0,川又 賢治,吉村 圭司(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
6,8,ウィスパーボイス,牡,3,57.0,黛 弘人,千田 輝彦(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
7,9,ガウラサンダー,牡,3,57.0,鮫島 克駿,高柳 大輔(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
7,10,ハイクオリティ,牡,3,57.0,佐々木 大輔,今野 貞一(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
8,11,ニホンピロカミーノ,牡,3,56.0,松本 大輝,安達 昭夫(栗東),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
8,12,サンピラーゴールド,牡,3,53.0,小林 美駒,鈴木 伸尋(美浦),2502010502,2025年6月28日（土）,函館,10:25,サラ系3歳未勝利,2R,ダ2400,未勝利
