枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,タナサンブラック,牡,5,58.0,吉村 誠之助,伊坂 重信(美浦),2509030308,2025年6月14日（土）,阪神,13:55,三田特別,8R,芝2400,2勝
2,2,ローレルキャニオン,牡,5,58.0,和田 竜二,加藤 公太(栗東),2509030308,2025年6月14日（土）,阪神,13:55,三田特別,8R,芝2400,2勝
3,3,ムジェロ,牡,5,58.0,西塚 洸二,藤原 英昭(栗東),2509030308,2025年6月14日（土）,阪神,13:55,三田特別,8R,芝2400,2勝
4,4,ゲルチュタール,牡,3,54.0,坂井 瑠星,杉山 晴紀(栗東),2509030308,2025年6月14日（土）,阪神,13:55,三田特別,8R,芝2400,2勝
5,5,ファミリータイム,牡,4,58.0,松山 弘平,石坂 公一(栗東),2509030308,2025年6月14日（土）,阪神,13:55,三田特別,8R,芝2400,2勝
6,6,ダノンシーマ,牡,3,54.0,川田 将雅,中内田 充正(栗東),2509030308,2025年6月14日（土）,阪神,13:55,三田特別,8R,芝2400,2勝
