枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ロジマンボ,牡,6,53.0,北村 宏司,古賀 慎明(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
1,2,ニシノライコウ,牡,5,57.0,池添 謙一,古賀 慎明(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
2,3,パワーホール,せん,4,57.0,田辺 裕信,昆 貢(栗東),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
2,4,ディープリッチ,牡,7,53.0,吉田 豊,小島 茂之(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
3,5,スパークリシャール,せん,4,54.0,横山 和生,小島 茂之(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
3,6,マイネルニコラス,牡,6,55.0,丹内 祐次,畠山 吉宏(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
4,7,メリオーレム,牡,4,57.0,川田 将雅,友道 康夫(栗東),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
4,8,ヴルカーノ,牡,7,54.0,松岡 正海,稲垣 幸雄(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
5,9,サウンドウォリアー,牡,7,54.0,津村 明秀,高橋 康之(栗東),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
5,10,テウメッサ,牝,4,55.0,戸崎 圭太,金成 貴史(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
6,11,ニューステソーロ,牝,4,52.0,菅原 明良,高木 登(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
6,12,ショウナンラピダス,牡,4,56.0,三浦 皇成,国枝 栄(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
7,13,コスモシャングリラ,牝,5,52.0,柴田 大知,水野 貴広(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
7,14,アンリーロード,牝,5,53.0,北村 友一,茶木 太樹(栗東),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
7,15,バロネッサ,牝,4,53.0,坂井 瑠星,田中 博康(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
8,16,ウインオーディン,牡,5,56.0,岩田 望来,鹿戸 雄一(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
8,17,マルチャン,牡,5,56.0,丸田 恭介,武市 康男(美浦),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
8,18,ブラックシールド,牡,6,54.0,内田 博幸,小栗 実(栗東),2505021210,2025年6月1日（日）,東京,14:55,むらさき賞,10R,芝1800,3勝
