枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,フォーゲル,牡,2,55.0,団野 大成,斉藤 崇史(栗東),2507030103,2025年7月26日（土）,中京,10:40,サラ系2歳未勝利,3R,芝1600,未勝利
2,2,パークヒルシューズ,牝,2,55.0,幸 英明,高橋 一哉(栗東),2507030103,2025年7月26日（土）,中京,10:40,サラ系2歳未勝利,3R,芝1600,未勝利
3,3,トライアンフパス,牝,2,55.0,和田 竜二,宮 徹(栗東),2507030103,2025年7月26日（土）,中京,10:40,サラ系2歳未勝利,3R,芝1600,未勝利
4,4,シャローアロス,牝,2,55.0,坂井 瑠星,安達 昭夫(栗東),2507030103,2025年7月26日（土）,中京,10:40,サラ系2歳未勝利,3R,芝1600,未勝利
5,5,サイン,牡,2,55.0,松山 弘平,佐藤 悠太(栗東),2507030103,2025年7月26日（土）,中京,10:40,サラ系2歳未勝利,3R,芝1600,未勝利
6,6,バースデイフライト,牝,2,55.0,川田 将雅,新谷 功一(栗東),2507030103,2025年7月26日（土）,中京,10:40,サラ系2歳未勝利,3R,芝1600,未勝利
