枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ラーシャローム,牡,3,55.0,石川 裕紀人,奥村 武(美浦),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
2,2,ディアマイハニー,牝,3,53.0,川又 賢治,中尾 秀正(栗東),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
3,3,ペリプルス,牡,5,58.0,吉田 隼人,佐藤 吉勝(美浦),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
4,4,シャインバオバブ,牡,3,55.0,古川 吉洋,本田 優(栗東),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
5,5,カーミングライツ,牡,3,55.0,R.キング,小島 茂之(美浦),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
6,6,アルマデオロ,牡,3,55.0,武 豊,清水 久詞(栗東),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
7,7,マイファミリー,牡,4,58.0,黛 弘人,深山 雅史(美浦),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
8,8,ボンドロア,牡,3,55.0,横山 典弘,松永 幹夫(栗東),2501010412,2025年8月3日（日）,札幌,16:01,積丹特別,12R,芝2600,1勝
