枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,トッピゴー,牡,4,58.0,角田 大和,角田 晃一(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
2,2,ワイルドブッター,牡,3,55.0,高倉 稜,武 英智(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
3,3,ジャスパーノベル,牝,3,53.0,松若 風馬,森 秀行(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
3,4,フィドルファドル,牝,3,53.0,坂井 瑠星,矢作 芳人(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
4,5,ペイシャヴァルツー,牝,3,53.0,団野 大成,吉田 直弘(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
4,6,ベネメレンティ,牝,4,52.0,河原田 菜々,前川 恭子(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
5,7,キョラムン,牝,3,53.0,小沢 大仁,石橋 守(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
5,8,ドナポンド,牝,3,53.0,菱田 裕二,小林 真也(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
6,9,ユウトザイースト,牡,4,55.0,川端 海翼,小崎 憲(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
6,10,オースミライト,牝,3,53.0,加藤 祥太,宮本 博(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
7,11,ファムエレガンテ,牝,3,51.0,永島 まなみ,中村 直也(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
7,12,ペンテリコン,牝,3,52.0,吉村 誠之助,武 幸四郎(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
8,13,クリノミニスター,牡,6,58.0,幸 英明,荒川 義之(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
8,14,ペレグリン,牝,4,56.0,M.デムーロ,河嶋 宏樹(栗東),2510020408,2025年7月6日（日）,小倉,13:55,サラ系3歳上500万円以下,8R,ダ1000,1勝
