枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,バットスティンガー ,牡,3,57.0,杉原 誠人,嘉藤 貴行(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
2,2,マカナ ,牝,3,55.0,菅原 明良,伊藤 大士(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
3,3,ヴィアトル ,牝,3,52.0,石神 深道,上原 佑紀(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
3,4,カフェアリス ,牝,3,55.0,江田 照男,柄崎 将寿(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
4,5,ブルーメサイア ,牡,3,57.0,大野 拓弥,国枝 栄(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
4,6,ミッドセンチュリー ,牡,3,57.0,嶋田 純次,松山 将樹(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
5,7,ケイツーブル ,牡,3,57.0,菊沢 一樹,千葉 直人(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
5,8,パヴェリング ,牝,3,55.0,C.ルメール,蛯名 正義(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
6,9,ディプタルアスール ,牡,3,57.0,武藤 雅,水野 貴広(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
6,10,クリノフローレンス ,牝,3,52.0,佐藤 翔馬,南田 美知雄(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
7,11,マイネルラファール ,牡,3,57.0,原 優介,畠山 吉宏(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
7,12,マイネルアウルム ,牡,3,57.0,津村 明秀,加藤 士津八(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
8,13,ディベルティスマン ,牡,3,57.0,戸崎 圭太,菊沢 隆徳(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
8,14,ディーズゴールド ,牡,3,57.0,三浦 皇成,田村 康仁(美浦),2504020411,2025年8月3日（日）,新潟,17:55,サラ系3歳未勝利,11R
