枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ピコテンダー,牝,3,52.0,石川 裕紀人,上原 佑紀(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
2,2,アドバンテスロード,牡,3,55.0,横山 琉人,斎藤 誠(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
2,3,オコジュ,牝,5,56.0,嶋田 純次,矢嶋 大樹(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
3,4,モダンフリンジ,牝,5,52.0,谷原 柚希,伊藤 圭三(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
3,5,シュヴァルボヌール,牝,3,53.0,三浦 皇成,加藤 征弘(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
4,6,グレアミラージュ,牡,8,58.0,黒岩 悠,笹田 和秀(栗東),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
4,7,ハジメテノチュウ,牡,6,58.0,杉原 誠人,南田 美知雄(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
5,8,エコロカディス,牡,3,52.0,石神 深道,森 一誠(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
5,9,アイランドピーク,牡,4,58.0,原 優介,加藤 和宏(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
6,10,ショーモッシュ,牡,3,55.0,横山 典弘,鈴木 伸尋(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
6,11,タイセイピューマ,牡,4,58.0,大野 拓弥,新開 幸一(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
7,12,カガバベル,牡,3,55.0,菊沢 一樹,萱野 浩二(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
7,13,プライムブルー,牡,4,55.0,石田 拓郎,尾形 和幸(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
8,14,ライヴドライバー,牡,3,55.0,木幡 巧也,尾形 和幸(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
8,15,エンピリカルルール,牝,4,53.0,土田 真翔,加藤 和宏(美浦),2503020412,2025年7月6日（日）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1150,1勝
