枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,マーシヴィガラス,牡,5,55.0,佐藤 翔馬,的場 均(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
2,2,ティルドーン,牡,5,58.0,菅原 明良,森 秀行(栗東),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
2,3,ホレーショ,牡,4,58.0,杉原 誠人,西田 雄一郎(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
3,4,ヤウガウ,せん,8,58.0,野中 悠太郎,金成 貴史(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
3,5,ノルドヴェスト,牡,5,58.0,戸崎 圭太,萩原 清(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
4,6,モンタナアゲート,牡,6,58.0,原 優介,和田 正一郎(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
4,7,アイファーグローブ,牡,6,55.0,石神 深道,蛯名 利弘(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
5,8,バナマンテソーロ,牡,4,58.0,菊沢 一樹,加藤 士津八(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
5,9,アパイシュナール,牝,4,56.0,内田 博幸,田村 康仁(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
6,10,ピコニ,牡,4,58.0,木幡 巧也,牧 光二(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
6,11,モーニングヘイズ,せん,6,55.0,石田 拓郎,岩戸 孝樹(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
7,12,アラレタバシル,牡,4,58.0,丸山 元気,根本 康広(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
7,13,ジュドー,せん,5,55.0,遠藤 汰月,手塚 貴久(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
8,14,スプレーフォール,牡,4,58.0,横山 琉人,相沢 郁(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
8,15,スペイドアン,牡,4,58.0,田辺 裕信,加藤 士津八(美浦),2503020508,2025年7月12日（土）,福島,14:05,サラ系3歳上1000万円以下,8R,ダ1700,2勝
