枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,サマースイートピー ,牝,3,54.0,内田 博幸,千葉 直人(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
2,2,フクチャンヒメ ,牝,3,54.0,三浦 皇成,加藤 征弘(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
2,3,アンビシュー ,牝,4,53.0,遠藤 汰月,村田 一誠(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
3,4,ブルーデイジー ,牝,6,53.0,石田 拓郎,的場 均(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
3,5,マーゴットレーヴ ,牝,5,56.0,吉田 豊,伊坂 重信(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
4,6,チャコール ,牝,4,56.0,津村 明秀,矢野 英一(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
4,7,ハヌル ,牝,4,56.0,嶋田 純次,岩戸 孝樹(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
5,8,リアンエターナル ,牝,3,54.0,菊沢 一樹,武藤 善則(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
5,9,アフトクラーティラ ,牝,5,54.0,今村 聖奈,上原 佑紀(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
6,10,クインズシフォン ,牝,3,51.0,石神 深道,和田 正一郎(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
6,11,ハーモニーソング ,牝,3,54.0,戸崎 圭太,田島 俊明(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
7,12,オオゾラヒバリ ,牝,4,56.0,野中 悠太郎,根本 康広(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
7,13,ミライヘノブーケ ,牝,3,54.0,杉原 誠人,伊藤 大士(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
8,14,クイーンアポーン ,牝,6,53.0,水沼 元輝,土田 稔(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
8,15,バルサミコ ,牝,4,53.0,佐藤 翔馬,小手川 準(美浦),2504020410,2025年8月3日（日）,新潟,17:25,サラ系3歳上500万円以下,10R
