枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ゴールドハーディス,牝,3,55.0,荻野 琢真,大久保 龍志(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
2,2,マザーズウィル,牝,3,55.0,北村 友一,国枝 栄(美浦),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
3,3,バダジェフスカ,牝,3,54.0,松本 大輝,新谷 功一(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
3,4,エピファランド,牝,3,55.0,浜中 俊,武 幸四郎(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
4,5,ブリスディーシャ,牝,3,55.0,斎藤 新,小崎 憲(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
4,6,テーオーカバリエ,牝,3,55.0,佐々木 大輔,須貝 尚介(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
5,7,エミネントキャリア,牝,3,55.0,丹内 祐次,稲垣 幸雄(美浦),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
5,8,シンヒダカゴールド,牝,3,55.0,古川 吉洋,角田 晃一(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
6,9,リリーオブザハート,牝,3,55.0,鮫島 克駿,辻野 泰之(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
6,10,ディアマント,牝,3,52.0,鷲頭 虎太,西村 真幸(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
7,11,ベルジャッド,牝,3,52.0,柴田 裕一郎,高柳 大輔(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
7,12,レフレクシオ,牝,3,52.0,森田 誠也,佐藤 悠太(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
8,13,オフザチェイン,牝,3,55.0,吉田 隼人,友道 康夫(栗東),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
8,14,ワタシマツワ,牝,3,52.0,小林 美駒,竹内 正洋(美浦),2501010104,2025年7月26日（土）,札幌,11:30,サラ系3歳未勝利,4R,芝1500,未勝利
