枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,パッシングシャワー,牡,4,58.0,横山 和生,安田 翔伍(栗東),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
2,2,マキシマムドライブ,牡,3,55.0,服部 茂史,田中 淳司(招待),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
3,3,ジャスパーディビネ,牡,3,55.0,吉田 隼人,森 秀行(栗東),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
4,4,スプリングデイ,牝,4,53.0,古川 奈穂,伊藤 大士(美浦),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
5,5,ハリウッドメモリー,牝,3,53.0,丹内 祐次,長谷川 浩大(栗東),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
6,6,オーケーダイナ,牝,3,53.0,武 豊,奥村 豊(栗東),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
7,7,アスクアメージモア,牡,4,55.0,舟山 瑠泉,藤原 英昭(栗東),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
8,8,ブライティアダイヤ,牝,4,56.0,佐々木 大輔,稲垣 幸雄(美浦),2502011012,2025年7月13日（日）,函館,16:05,サラ系3歳上500万円以下,12R,芝1200,1勝
