枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ペプチドタイガー ,牡,5,58.0,岩田 康誠,吉村 圭司(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
1,2,アッチャゴーラ ,牡,5,58.0,小崎 綾也,浅利 英明(美浦),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
2,3,マルカラピッド ,牝,5,56.0,小沢 大仁,今野 貞一(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
2,4,ルージュスタニング ,牝,4,56.0,坂井 瑠星,友道 康夫(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
3,5,ロレンツォ ,牡,7,58.0,荻野 極,加藤 征弘(美浦),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
3,6,スティールブルー ,牝,4,56.0,酒井 学,田中 勝春(美浦),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
4,7,シゲルソロソロ ,牝,5,56.0,川須 栄彦,谷 潔(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
4,8,ストレングス ,牡,4,58.0,松山 弘平,寺島 良(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
5,9,ヘンリー ,牡,5,58.0,幸 英明,吉岡 辰弥(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
5,10,マイネルカーライル ,牡,5,58.0,田口 貫太,西園 正都(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
6,11,エストレヤデベレン ,牡,4,58.0,亀田 温心,武 幸四郎(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
6,12,プルートマスター ,牡,6,58.0,松若 風馬,今野 貞一(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
7,13,アンシール ,せん,4,58.0,吉村 誠之助,小崎 憲(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
7,14,ランスオブサターン ,牝,5,56.0,A.バデル,本田 優(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
8,15,ジャーヴィス ,牡,5,58.0,団野 大成,千田 輝彦(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
8,16,タイゲン ,牡,6,58.0,和田 竜二,平田 修(栗東),2507030406,2025年8月3日（日）,中京,15:00,桶狭間ステークス,6R
