枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,メイショウキルギス ,牡,4,55.0,和田 陽希,高橋 亮(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
2,2,クラリティスケール ,牝,6,55.0,松本 大輝,藤野 健太(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
3,3,ジーベック ,牡,4,55.0,古川 奈穂,矢作 芳人(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
4,4,モンシェリ ,牝,4,56.0,横山 武史,牧田 和弥(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
5,5,クーデール ,牝,3,51.0,小林 美駒,坂口 智康(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
6,6,ニルアドミラリ ,せん,7,55.0,柴田 裕一郎,和田 正一郎(美浦),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
7,7,ディアサクセサー ,せん,5,56.0,鷲頭 虎太,井上 智史(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
7,8,ボルセーナ ,牝,3,51.0,舟山 瑠泉,奥村 豊(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
8,9,サザンカ ,牝,4,53.0,橋木 太希,角田 晃一(栗東),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
8,10,カンザシ ,牝,6,56.0,R.キング,蛯名 正義(美浦),2501010409,2025年8月3日（日）,札幌,14:20,サラ系3歳上1000万円以下,9R
