枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,スムースベルベット ,牝,5,56.0,黛 弘人,南田 美知雄(美浦),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
2,2,ジャガード ,牡,7,58.0,吉田 隼人,和田 雄二(美浦),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
3,3,クリノハレルヤ ,牝,4,56.0,森田 誠也,武 英智(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
4,4,コーティアスマナー ,牝,4,56.0,丹内 祐次,高橋 義忠(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
4,5,ハートホイップ ,牝,6,56.0,横山 琉人,蛯名 利弘(美浦),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
5,6,アイオブザストーム ,牝,5,56.0,菱田 裕二,岡田 稲男(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
5,7,ラホーヤストーム ,牝,5,56.0,古川 吉洋,藤野 健太(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
6,8,ゴールドスター ,牡,4,58.0,石川 裕紀人,奥村 武(美浦),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
6,9,ヴァンヴィーヴ ,牡,4,58.0,佐々木 大輔,牧浦 充徳(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
7,10,メイケイバートン ,牡,6,58.0,柴田 裕一郎,中竹 和也(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
7,11,エヴァンスウィート ,牝,4,56.0,鮫島 克駿,友道 康夫(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
8,12,カリーシ ,牝,4,56.0,R.キング,武井 亮(美浦),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
8,13,イグニション ,牡,5,58.0,川又 賢治,畑端 省吾(栗東),2501010410,2025年8月3日（日）,札幌,14:50,苫小牧特別,10R
