枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ホッコーメヴィウス,せん,9,60.0,難波 剛健,清水 久詞(栗東),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
2,2,フォージドブリック,牡,4,60.0,大江原 圭,西田 雄一郎(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
3,3,プラチナドリーム,牡,6,60.0,石神 深一,菊川 正達(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
4,4,サイード,せん,6,60.0,小牧 加矢太,角田 晃一(栗東),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
5,5,ロスコフ,牡,7,60.0,草野 太郎,久保田 貴士(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
5,6,ダイシンクローバー,せん,9,61.0,上野 翔,戸田 博文(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
6,7,ジューンベロシティ,牡,7,61.0,高田 潤,武 英智(栗東),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
6,8,ブリエヴェール,牡,7,60.0,金子 光希,小笠 倫弘(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
7,9,デシマルサーガ,牡,5,60.0,江田 勇亮,粕谷 昌央(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
7,10,ウインチェレステ,牡,7,60.0,小野寺 祐太,畠山 吉宏(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
8,11,スヴァルナ,せん,10,60.0,井上 敏樹,池江 泰寿(栗東),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
8,12,サクセスバラード,牡,5,60.0,伴 啓太,竹内 正洋(美浦),2505030304,2025年6月14日（土）,東京,11:45,東京ジャンプステークスJ・GIII,4R,,Ｇ３
