枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,パゴスピグイノス,牝,2,54.0,高杉 吏麒,森田 直行(栗東),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
2,2,エマープ,牡,2,55.0,原 優介,青木 孝文(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
3,3,レヴェランジェ,牝,2,55.0,津村 明秀,鈴木 慎太郎(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
4,4,バドリナート,牡,2,55.0,丸山 元気,松永 幹夫(栗東),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
4,5,クイーンオブハート,牝,2,52.0,石田 拓郎,根本 康広(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
5,6,アラムベイ,牡,2,55.0,菅原 明良,池上 昌和(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
5,7,テンオンスゴールド,牡,2,55.0,江田 照男,田中 剛(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
6,8,プロメサアルムンド,牡,2,55.0,C.ルメール,国枝 栄(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
6,9,ミスデルマー,牝,2,52.0,石神 深道,和田 正一郎(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
7,10,インザライムライト,牝,2,55.0,柴田 大知,和田 雄二(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
7,11,ニシノギャルズ,牝,2,55.0,武藤 雅,水野 貴広(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
8,12,テリオスレイ,牝,2,55.0,大野 拓弥,田島 俊明(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
8,13,ロジスカヤ,牝,2,55.0,三浦 皇成,国枝 栄(美浦),2504020404,2025年8月3日（日）,新潟,11:20,サラ系2歳新馬,4R,芝1600,新馬
