枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,キスメット,牡,3,57.0,丸田 恭介,大和田 成(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
1,2,セブンメデュラス,牡,3,57.0,C.ルメール,木村 哲也(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
2,3,デルマサターン,牡,3,57.0,菊沢 一樹,菊沢 隆徳(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
2,4,ダイタエリュシオン,牡,3,57.0,M.ディー,土田 稔(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
3,5,ネオディヤマンテ,牡,3,57.0,田辺 裕信,小西 一男(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
3,6,リンガスマイル,牡,3,54.0,水沼 元輝,西田 雄一郎(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
4,7,グレーターバーチュ,牡,3,57.0,北村 宏司,高柳 瑞樹(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
4,8,ティアップマッハ,牝,3,55.0,江田 照男,奥平 雅士(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
5,9,ブランディストック,せん,3,57.0,菅原 明良,辻 哲英(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
5,10,ショージージョ,せん,3,57.0,武藤 雅,小笠 倫弘(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
6,11,ランブータン,牡,3,57.0,菅原 隆一,的場 均(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
6,12,デュピュイドローム,牡,3,57.0,内田 博幸,宮田 敬介(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
7,13,マルターズヴェロス,牡,3,55.0,長浜 鴻緒,手塚 貴久(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
7,14,ゴールドパートナー,牡,3,57.0,横山 和生,嘉藤 貴行(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
8,15,サトミノエンジェル,牡,3,57.0,横山 典弘,鈴木 伸尋(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
8,16,ロイヤルカスタマー,牡,3,54.0,上里 直汰,加藤 和宏(美浦),2505021203,2025年6月1日（日）,東京,10:40,サラ系3歳未勝利,3R,ダ1600,未勝利
