枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ルドヴィクス ,牡,7,60.0,上野 翔,久保田 貴士(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
2,2,ジュリアスローズ ,牝,4,58.0,大江原 圭,粕谷 昌央(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
3,3,ラパンラピッド ,せん,5,57.0,坂口 智康,武井 亮(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
3,4,アナザーエース ,牡,5,57.0,井上 敏樹,宮 徹(栗東),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
4,5,スズカコテキタイ ,牡,6,60.0,伴 啓太,奥村 武(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
4,6,カレンマックナイト ,牡,6,60.0,黒岩 悠,平田 修(栗東),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
5,7,サニーオーシャン ,せん,7,57.0,水沼 元輝,杉浦 宏昭(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
5,8,ゴットリープ ,牡,5,60.0,五十嵐 雄祐,栗田 徹(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
6,9,ケイアイカラキア ,せん,3,58.0,江田 勇亮,上原 博之(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
6,10,グローリーアテイン ,せん,4,60.0,金子 光希,金成 貴史(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
7,11,ソルトロング ,牡,4,60.0,小野寺 祐太,荒川 義之(栗東),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
7,12,サンライズウェーヴ ,牡,4,60.0,難波 剛健,石坂 公一(栗東),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
8,13,コンクエスト ,せん,6,60.0,石神 深一,小笠 倫弘(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
8,14,ウェイトゥザドーン ,せん,4,57.0,土田 真翔,戸田 博文(美浦),2504020401,2025年8月3日（日）,新潟,9:45,サラ系障害3歳上未勝利,1R
