枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,エリンアキレウス ,牡,5,58.0,秋山 稔樹,伊藤 伸一(美浦),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
2,2,チェルノボーグ ,せん,6,58.0,A.バデル,藤原 英昭(栗東),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
3,3,レッドベルアーム ,牡,6,58.0,鮫島 良太,河嶋 宏樹(栗東),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
4,4,オトコギアンパン ,牡,4,58.0,松山 弘平,小栗 実(栗東),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
5,5,ディアナザール ,牡,3,55.0,団野 大成,斉藤 崇史(栗東),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
6,6,サクラオーラ ,牝,6,56.0,酒井 学,河嶋 宏樹(栗東),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
7,7,タガノスペルノヴァ ,牡,7,58.0,川須 栄彦,中尾 秀正(栗東),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
8,8,ケイデンシーマーク ,牝,5,56.0,小沢 大仁,福永 祐一(栗東),2507030408,2025年8月3日（日）,中京,16:10,納屋橋特別,8R
