枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,マテンロウボンド,牡,6,58.0,団野 大成,野中 賢二(栗東),2510020110,2025年6月28日（土）,小倉,15:10,柳川特別,10R,芝1800,2勝
2,2,ミッキーゴールド,牡,3,55.0,浜中 俊,池江 泰寿(栗東),2510020110,2025年6月28日（土）,小倉,15:10,柳川特別,10R,芝1800,2勝
3,3,テレサ,牝,3,53.0,松山 弘平,杉山 晴紀(栗東),2510020110,2025年6月28日（土）,小倉,15:10,柳川特別,10R,芝1800,2勝
4,4,バレルターン,牡,4,58.0,坂井 瑠星,茶木 太樹(栗東),2510020110,2025年6月28日（土）,小倉,15:10,柳川特別,10R,芝1800,2勝
5,5,ラレーヌデリス,牝,5,56.0,高杉 吏麒,安田 翔伍(栗東),2510020110,2025年6月28日（土）,小倉,15:10,柳川特別,10R,芝1800,2勝
6,6,エコロスヴァル,せん,3,55.0,田口 貫太,森 秀行(栗東),2510020110,2025年6月28日（土）,小倉,15:10,柳川特別,10R,芝1800,2勝
