枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ヴィアトル,牝,3,55.0,戸崎 圭太,上原 佑紀(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
1,2,サトノシャルレーヌ,牝,3,55.0,荻野 極,国枝 栄(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
2,3,ラブフォルテッシモ,牝,3,55.0,丸田 恭介,田村 康仁(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
2,4,イサゴールド,牝,3,55.0,原 優介,奥村 武(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
3,5,フォーエリーゼ,牝,3,55.0,国分 恭介,本間 忍(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
3,6,ダノンブロッサム,牝,3,55.0,三浦 皇成,尾関 知人(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
4,7,ディフューズ,牝,3,55.0,木幡 育也,勢司 和浩(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
4,8,モズアンドモズ,牝,3,55.0,大野 拓弥,栗田 徹(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
5,9,サルーポルティ,牝,3,55.0,菅原 明良,国枝 栄(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
5,10,ラベルエラベット,牝,3,55.0,柴田 大知,畠山 吉宏(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
6,11,ハットメリリー,牝,3,55.0,菊沢 一樹,菊沢 隆徳(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
6,12,プリティパール,牝,3,54.0,横山 琉人,大和田 成(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
7,13,レイーナアスール,牝,3,55.0,武藤 雅,武藤 善則(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
7,14,ミライヘノハナ,牝,3,55.0,田辺 裕信,伊藤 大士(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
8,15,アットザホップ,牝,3,52.0,石田 拓郎,新開 幸一(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
8,16,ジェノヴィーノ,牝,3,55.0,津村 明秀,中舘 英二(美浦),2503020104,2025年6月28日（土）,福島,11:45,サラ系3歳未勝利,4R,芝1800,未勝利
