枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,マダムイグレイン,牝,3,54.0,吉村 誠之助,飯田 祐史(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
1,2,ブライトイメル,牡,3,57.0,角田 大和,本田 優(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
2,3,リリードリーマー,牝,3,55.0,藤懸 貴志,平田 修(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
2,4,メイショウヨンク,牡,3,57.0,酒井 学,秋山 真一郎(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
3,5,グティ,せん,3,57.0,岩田 康誠,友道 康夫(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
3,6,アメリカンタロー,牡,3,57.0,秋山 稔樹,杉山 佳明(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
4,7,パッションディーバ,牝,3,52.0,田山 旺佑,四位 洋文(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
4,8,ダンツトラバース,牡,3,57.0,中井 裕二,本田 優(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
5,9,メイショウサトノヒ,牡,3,57.0,田口 貫太,長谷川 浩大(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
5,10,メイショウセツゲツ,牝,3,55.0,小沢 大仁,高橋 義忠(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
6,11,ドラゴンガール,牝,3,55.0,団野 大成,前川 恭子(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
6,12,モンサンヴデット,牝,3,55.0,松若 風馬,平田 修(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
7,13,シンゼンマルノスケ,牡,3,57.0,城戸 義政,荒川 義之(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
7,14,スマートフランキー,牡,3,57.0,太宰 啓介,石橋 守(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
8,15,インディゴアスール,牡,3,57.0,和田 竜二,鈴木 孝志(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
8,16,メメテラステラ,牝,3,55.0,幸 英明,飯田 祐史(栗東),2507030204,2025年7月27日（日）,中京,11:10,サラ系3歳未勝利,4R,ダ1200,未勝利
