枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,アロンディ,牡,3,57.0,A.バデル,武 英智(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
2,2,リーティアコナル,牡,3,57.0,小崎 綾也,友道 康夫(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
3,3,コスモグローリー,牡,3,57.0,和田 竜二,北出 成人(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
3,4,アスクアーバンシー,牡,3,57.0,坂井 瑠星,矢作 芳人(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
4,5,マットーネロッソ,牝,3,55.0,川須 栄彦,中尾 秀正(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
4,6,ボナペティアスク,牝,3,55.0,岩田 康誠,梅田 智之(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
5,7,ウインクルキセキ,牝,3,51.0,河原田 菜々,高橋 亮(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
5,8,ヒルノカーディフ,牝,3,55.0,太宰 啓介,昆 貢(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
6,9,シェーラ,牝,3,52.0,田山 旺佑,牧田 和弥(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
6,10,ノボリディアマン,牡,3,57.0,中井 裕二,緒方 努(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
7,11,ダンツファントム,牡,3,57.0,国分 優作,四位 洋文(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
7,12,ポジターノ,牝,3,54.0,高杉 吏麒,飯田 祐史(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
8,13,キャニオンデシェイ,牡,3,56.0,西塚 洸二,友道 康夫(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
8,14,マイネルビスマルク,牡,3,57.0,松若 風馬,梅田 智之(栗東),2507030304,2025年8月2日（土）,中京,11:10,サラ系3歳未勝利,4R,芝2000,未勝利
