枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ガイ ,牡,3,57.0,菅原 明良,高木 登(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
2,2,ヒロノビックバン ,牡,3,55.0,今村 聖奈,蛯名 利弘(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
2,3,ノブレスジャン ,牡,3,57.0,大野 拓弥,和田 勇介(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
3,4,ジェントルショット ,牡,3,57.0,三浦 皇成,加藤 征弘(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
3,5,パーティーガール ,牝,3,55.0,野中 悠太郎,根本 康広(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
4,6,フルボーグ ,牡,3,54.0,石田 拓郎,高木 登(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
4,7,ライヴスプーン ,牝,3,52.0,遠藤 汰月,尾形 和幸(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
5,8,アストラン ,せん,3,57.0,斎藤 新,斎藤 誠(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
5,9,ホークライト ,せん,3,57.0,C.ルメール,中舘 英二(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
6,10,ラファエラエンゼル ,牝,3,55.0,菊沢 一樹,武市 康男(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
6,11,ミンナデガンバル ,牡,3,54.0,水沼 元輝,西田 雄一郎(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
7,12,カドバンソコヂカラ ,牡,3,54.0,石神 深道,千葉 直人(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
7,13,ブランクシート ,牡,3,57.0,吉田 豊,小島 茂之(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
8,14,クラウンアールシー ,牡,3,56.0,高杉 吏麒,加藤 士津八(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
8,15,ワウワウワウ ,牡,3,57.0,木幡 巧也,牧 光二(美浦),2504020409,2025年8月3日（日）,新潟,16:55,サラ系3歳未勝利,9R
