枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,フォンデネージュ,牝,3,55.0,C.ルメール,武井 亮(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
2,2,ヨドギミ,牝,3,54.0,西塚 洸二,中村 直也(栗東),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
2,3,ドリームパンジャ,牝,3,52.0,石神 深道,金成 貴史(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
3,4,スリーローズ,牝,3,52.0,川端 海翼,谷 潔(栗東),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
3,5,パッションビラーゴ,牝,3,55.0,大野 拓弥,武藤 善則(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
4,6,アルマリカシバ,牝,3,52.0,石田 拓郎,中舘 英二(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
4,7,トーアナカヨシ,牝,3,55.0,菊沢 一樹,勢司 和浩(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
5,8,ホウオウヌーヴォー,牝,3,55.0,戸崎 圭太,田島 俊明(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
5,9,プラウドモーメント,牝,3,53.0,今村 聖奈,林 徹(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
6,10,シックスレイヴンズ,牝,3,55.0,木幡 巧也,岩戸 孝樹(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
6,11,サラニキケン,牝,3,55.0,木幡 初也,竹内 正洋(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
7,12,クールカグラ,牝,3,55.0,三浦 皇成,和田 勇介(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
7,13,ラグナトーレ,牝,3,55.0,R.キング,角田 晃一(栗東),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
8,14,ミッキーキャンディ,牝,3,55.0,菅原 明良,国枝 栄(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
8,15,フローラルデザイン,牝,3,55.0,原 優介,畠山 吉宏(美浦),2504020104,2025年7月26日（土）,新潟,11:20,サラ系3歳未勝利,4R,ダ1800,未勝利
