枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ウィナーズロジャー,牡,2,55.0,菊沢 一樹,奥平 雅士(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
2,2,イチザペガサス,牡,2,55.0,原 優介,的場 均(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
3,3,ラジカル,牡,2,55.0,菅原 隆一,小手川 準(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
4,4,メイクイット,牝,2,55.0,岩部 純二,土田 稔(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
5,5,ラディアントスター,牡,2,55.0,戸崎 圭太,林 徹(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
6,6,スターオブアダム,牡,2,55.0,木幡 巧也,牧 光二(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
7,7,タイダルロック,牡,2,55.0,大野 拓弥,武井 亮(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
8,8,ハデステソーロ,牡,2,55.0,菅原 明良,武市 康男(美浦),2503020405,2025年7月6日（日）,福島,12:35,サラ系2歳新馬,5R,芝2000,新馬
