枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ユメシルベ,牝,2,55.0,柴田 大知,粕谷 昌央(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
1,2,タフバディ,牡,2,55.0,菊沢 一樹,加藤 和宏(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
2,3,マルターズドン,牡,2,55.0,三浦 皇成,手塚 貴久(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
2,4,リフレックス,牡,2,55.0,伊藤 工真,金成 貴史(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
3,5,ザーフィル,牡,2,55.0,戸崎 圭太,林 徹(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
3,6,ニシノシャルム,牝,2,55.0,大野 拓弥,栗田 徹(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
4,7,カガチャンプ,牡,2,55.0,原 優介,萱野 浩二(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
4,8,マイトビーウォン,牡,2,55.0,丸田 恭介,和田 雄二(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
5,9,ルージュリリック,牝,2,55.0,石川 裕紀人,上原 佑紀(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
5,10,グラスアロー,牡,2,55.0,木幡 巧也,菊川 正達(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
6,11,サザンテイオー,牡,2,52.0,石神 深道,根本 康広(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
6,12,アイスアンドスノー,牡,2,55.0,内田 博幸,古賀 慎明(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
7,13,エイシンイクサボシ,牝,2,55.0,木幡 育也,勢司 和浩(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
7,14,シェリアドレ,牝,2,55.0,荻野 極,奥村 武(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
8,15,リアライズリバティ,牝,2,55.0,津村 明秀,池上 昌和(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
8,16,モンドシュピーゲル,牡,2,55.0,横山 琉人,天間 昭一(美浦),2503020705,2025年7月19日（土）,福島,12:35,サラ系2歳新馬,5R,芝1800,新馬
