枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ハリウッドメモリー,牝,3,53.0,丹内 祐次,長谷川 浩大(栗東),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
2,2,スプリングデイ,牝,4,56.0,黛 弘人,伊藤 大士(美浦),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
3,3,エルサトアナ,牝,3,53.0,松本 大輝,本田 優(栗東),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
4,4,アルマロクザン,牝,5,56.0,松岡 正海,伊藤 伸一(美浦),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
5,5,ラセーヌシュメール,牝,4,56.0,木幡 巧也,杉浦 宏昭(美浦),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
6,6,アジュマン,牡,3,55.0,佐々木 大輔,石坂 公一(栗東),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
7,7,ブルーアイドガール,牝,4,56.0,吉田 隼人,吉岡 辰弥(栗東),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
8,8,フリントロック,牝,5,56.0,鷲頭 虎太,菊沢 隆徳(美浦),2502010509,2025年6月28日（土）,函館,14:15,長万部特別,9R,芝1200,1勝
