枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,サトノルフィアン ,牡,6,58.0,永島 まなみ,高橋 康之(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
2,2,ラインオブソウル ,牡,6,57.0,松若 風馬,東田 明士(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
3,3,シゲルショウグン ,牡,5,58.0,岩田 康誠,大橋 勇樹(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
4,4,エナハツホ ,牝,6,55.0,西塚 洸二,吉田 直弘(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
5,5,マリオロード ,牡,6,57.0,A.バデル,安達 昭夫(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
5,6,サンデーファンデー ,牡,5,61.0,団野 大成,東田 明士(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
6,7,ルクスフロンティア ,牡,5,58.0,吉村 誠之助,松永 幹夫(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
6,8,フタイテンロック ,牡,6,57.0,小崎 綾也,佐藤 吉勝(美浦),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
7,9,ゼットリアン ,牡,5,57.0,松山 弘平,吉田 直弘(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
7,10,マンマリアーレ ,牝,5,55.0,荻野 極,高木 登(美浦),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
8,11,ピースオブザライフ ,牝,5,55.0,田口 貫太,野中 賢二(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
8,12,サトノフェニックス ,牡,4,57.0,和田 竜二,西園 正都(栗東),2507030407,2025年8月3日（日）,中京,15:35,名鉄杯L,7R
