枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,スクレイピング,牡,3,55.0,戸崎 圭太,尾関 知人(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
2,2,ノーブルアクト,牝,5,56.0,大野 拓弥,上原 博之(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
2,3,ロードソルスティス,牡,3,55.0,田辺 裕信,斎藤 誠(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
3,4,トモジャシャトー,牡,4,58.0,武藤 雅,小笠 倫弘(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
3,5,ヘリオトロープ,牡,3,55.0,C.ルメール,萩原 清(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
4,6,ブルータス,牡,3,52.0,遠藤 汰月,高柳 瑞樹(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
4,7,ジェイエルバース,牡,3,55.0,小林 凌大,小西 一男(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
5,8,イノキ,牡,3,55.0,菅原 明良,岩戸 孝樹(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
5,9,ミダース,牡,4,58.0,津村 明秀,栗田 徹(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
6,10,タニセンドリーム,牡,4,58.0,石橋 脩,加藤 士津八(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
6,11,オーケーバーディー,牝,4,55.0,横山 琉人,相沢 郁(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
7,12,アルマグラース,牝,3,53.0,荻野 極,水野 貴広(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
7,13,ヴィーデ,牡,3,55.0,三浦 皇成,戸田 博文(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
8,14,レッドベルダンス,牡,3,55.0,嶋田 純次,手塚 貴久(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
8,15,クールシェルタ,牡,6,55.0,石神 深道,高橋 文雅(美浦),2503020112,2025年6月28日（土）,福島,16:30,サラ系3歳上500万円以下,12R,ダ1700,1勝
