枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ポテチ,牡,3,57.0,高倉 稜,鈴木 孝志(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
1,2,スピントロニクス,牡,3,57.0,松山 弘平,池江 泰寿(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
2,3,コパカバーナ,牝,3,55.0,団野 大成,森田 直行(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
2,4,メイショウサノサ,牝,3,55.0,酒井 学,庄野 靖志(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
3,5,ダイヤノエース,牡,3,57.0,国分 優作,清水 久詞(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
3,6,ランスオブフェイス,牝,3,54.0,高杉 吏麒,奥村 豊(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
4,7,サンライズロジャー,牡,3,57.0,幸 英明,加藤 公太(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
4,8,ルークピオーネ,牝,3,55.0,小崎 綾也,畑端 省吾(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
5,9,アファリン,牝,3,52.0,田山 旺佑,新谷 功一(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
5,10,クリノアラジン,牡,3,57.0,松若 風馬,谷 潔(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
6,11,メイショウハリソン,牡,3,57.0,坂井 瑠星,石橋 守(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
6,12,ヒロニャン,牡,3,57.0,田口 貫太,今野 貞一(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
7,13,フーダオラ,牡,3,55.0,永島 まなみ,吉村 圭司(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
7,14,ゴートゥーミジョカ,牝,3,55.0,水口 優也,宮本 博(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
8,15,ソリッドベーシス,せん,3,57.0,岡田 祥嗣,安田 翔伍(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
8,16,ハチワレ,牝,3,53.0,今村 聖奈,寺島 良(栗東),2510020203,2025年6月29日（日）,小倉,11:05,サラ系3歳未勝利,3R,芝2600,未勝利
