枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,ジロー,牡,8,60.0,小牧 加矢太,岡田 稲男(栗東),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
2,2,マイネルエール,せん,6,60.0,大江原 圭,蛯名 利弘(美浦),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
3,3,ミラクルジニア,牡,4,60.0,上野 翔,粕谷 昌央(美浦),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
4,4,トーアモルペウス,せん,5,61.0,石神 深一,辻 哲英(美浦),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
5,5,タイキフロリゼル,牡,7,61.0,黒岩 悠,谷 潔(栗東),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
6,6,テンメジャーガール,牝,6,58.0,小野寺 祐太,高柳 大輔(栗東),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
7,7,クラウンセト,牡,6,60.0,草野 太郎,本間 忍(美浦),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
8,8,ヴァランセカズマ,牡,8,57.0,井上 敏樹,蛯名 利弘(美浦),2507030109,2025年7月26日（土）,中京,16:45,サラ系障害3歳上オープン,9R,,ｵｰﾌﾟﾝ
