枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,スカイピア,牝,2,51.0,小林 美駒,前川 恭子(栗東),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
2,2,クワイエットアイ,牡,2,55.0,鮫島 克駿,中竹 和也(栗東),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
3,3,マーシャルアン,牡,2,55.0,黛 弘人,大和田 成(美浦),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
4,4,スノーランス,牝,2,55.0,佐々木 大輔,上原 佑紀(美浦),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
5,5,タガノアラリア,牡,2,55.0,斎藤 新,西園 翔太(栗東),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
6,6,ラブミーヘンリー,牝,2,55.0,古川 吉洋,宮 徹(栗東),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
7,7,スミッコディスコ,牡,2,55.0,横山 和生,鈴木 慎太郎(美浦),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
7,8,イッスンボウシ,牡,2,52.0,柴田 裕一郎,的場 均(美浦),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
8,9,ヒッグスボソン,牡,2,55.0,丹内 祐次,高橋 義忠(栗東),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
8,10,エターナルギア,牡,2,52.0,森田 誠也,加藤 士津八(美浦),2502010801,2025年7月6日（日）,函館,9:50,サラ系2歳未勝利,1R,芝1200,未勝利
