枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,セイウンヤタガラス,牡,3,55.0,今村 聖奈,堀内 岳志(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
2,2,カイトリヒト,牡,3,54.0,和田 陽希,武市 康男(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
3,3,アイルクラウン,せん,3,55.0,長浜 鴻緒,田島 俊明(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
4,4,アスゴッド,牡,3,54.0,古川 奈穂,矢作 芳人(栗東),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
5,5,ベルトネ,牝,3,55.0,古川 吉洋,牧 光二(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
5,6,バースフラワー,牝,3,51.0,小林 美駒,小手川 準(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
6,7,メイショウユウモウ,せん,3,57.0,小沢 大仁,西園 正都(栗東),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
6,8,ヒロスズラン,牝,3,52.0,柴田 裕一郎,角田 晃一(栗東),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
7,9,サスペンスクィーン,牝,3,55.0,丹内 祐次,和田 雄二(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
7,10,ダブルシルバー,牡,3,57.0,松若 風馬,小椋 研介(栗東),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
8,11,トーアジョウトウ,牡,3,54.0,舟山 瑠泉,村田 一誠(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
8,12,ファリア,牡,3,57.0,斎藤 新,土田 稔(美浦),2502010203,2025年6月15日（日）,函館,10:45,サラ系3歳未勝利,3R,ダ1000,未勝利
