枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,エールラヴィクトワ,牝,3,55.0,和田 竜二,橋口 慎介(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
1,2,ジーティーララバイ,牝,3,55.0,国分 優作,矢作 芳人(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
2,3,キボウノチカラ,牝,3,52.0,田山 旺佑,高橋 一哉(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
2,4,ディニトーソ,牡,3,55.0,永島 まなみ,辻野 泰之(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
3,5,アバットゥータ,牡,3,57.0,角田 大和,中竹 和也(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
3,6,ロックウイズユー,牡,3,57.0,松山 弘平,西園 正都(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
4,7,クロシオカレント,牡,3,57.0,幸 英明,東田 明士(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
4,8,オリジナルファイン,牝,3,54.0,吉村 誠之助,清水 久詞(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
5,9,ハイアップグレード,牡,3,57.0,田口 貫太,谷 潔(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
5,10,ファーストドラゴン,牡,3,57.0,団野 大成,野中 賢二(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
6,11,トーアグッドラック,牡,3,57.0,坂井 瑠星,加藤 公太(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
6,12,スピントロニクス,牡,3,57.0,岩田 望来,池江 泰寿(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
7,13,サンライズフーガ,牡,3,57.0,高倉 稜,前川 恭子(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
7,14,スエズマックス,牡,3,57.0,藤懸 貴志,田中 克典(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
8,15,アメリカンタロー,牡,3,57.0,秋山 稔樹,杉山 佳明(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
8,16,ショウリュウアサヒ,牡,3,57.0,太宰 啓介,四位 洋文(栗東),2509030303,2025年6月14日（土）,阪神,11:00,サラ系3歳未勝利,3R,ダ2000,未勝利
