枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,ヒルノレーダン ,牝,3,55.0,古川 吉洋,昆 貢(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
1,2,クランドゥイユ ,牝,3,55.0,北村 友一,前川 恭子(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
2,3,カラーズリング ,牝,3,52.0,古川 奈穂,羽月 友彦(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
2,4,シャインフリーリー ,牡,3,57.0,黛 弘人,矢嶋 大樹(美浦),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
3,5,ルージュレアリーズ ,牝,3,54.0,松本 大輝,福永 祐一(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
3,6,マリエンプラッツ ,牝,3,55.0,菱田 裕二,橋口 慎介(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
4,7,オラリオン ,牡,3,54.0,和田 陽希,高橋 一哉(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
4,8,ミルキーハニー ,牝,3,52.0,小林 美駒,尾形 和幸(美浦),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
5,9,ハクサンミラクル ,牡,3,57.0,横山 武史,武藤 善則(美浦),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
5,10,ハルノート ,牡,3,55.0,鷲頭 虎太,小手川 準(美浦),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
6,11,ナリノボガート ,牡,3,57.0,原田 和真,上原 博之(美浦),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
6,12,マルテアヴニール ,牝,3,52.0,森田 誠也,小島 茂之(美浦),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
7,13,アルハイルフォート ,牡,3,57.0,R.キング,高野 友和(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
7,14,ノボリユーミン ,牝,3,52.0,柴田 裕一郎,石橋 守(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
8,15,イモータリティ ,牡,3,57.0,吉田 隼人,栗田 徹(美浦),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
8,16,パーフェクトパール ,牝,3,55.0,佐々木 大輔,中内田 充正(栗東),2501010403,2025年8月3日（日）,札幌,11:00,サラ系3歳未勝利,3R
