枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,開催地,発走時刻,レース名,レース番号
1,1,エイシンオニキス ,牝,4,56.0,川又 賢治,渡辺 薫彦(栗東),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
2,2,ハーエクセレンシー ,牝,5,56.0,藤岡 佑介,大和田 成(美浦),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
3,3,サウンドサンライズ ,牝,3,53.0,浜中 俊,東田 明士(栗東),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
4,4,イゾレエオリア ,牝,5,56.0,佐々木 大輔,伊藤 大士(美浦),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
5,5,メイショウピリカ ,牝,3,53.0,古川 吉洋,本田 優(栗東),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
6,6,フェアリーライク ,牝,3,53.0,武 豊,笹田 和秀(栗東),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
6,7,ソニックドライブ ,牝,4,56.0,北村 友一,田中 克典(栗東),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
7,8,ルールーリマ ,牝,3,53.0,横山 武史,大竹 正博(美浦),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
7,9,ミエノジュピター ,牝,4,56.0,R.キング,堀 宣行(美浦),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
8,10,フラッシングレート ,牝,5,53.0,舟山 瑠泉,加藤 公太(栗東),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
8,11,エレガンシア ,牝,3,53.0,鮫島 克駿,高柳 大輔(栗東),2501010408,2025年8月3日（日）,札幌,13:50,サラ系3歳上500万円以下,8R
