枠番,馬番,馬名,性別,年齢,斤量,騎手,調教師,race_id,日付,場所,発走時刻,レース名,レース番号,距離,クラス名
1,1,シンデレラリバティ,牝,2,55.0,岩部 純二,蛯名 利弘(美浦),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
2,2,コルテオソレイユ,牡,2,55.0,菅原 明良,佐藤 悠太(栗東),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
3,3,リアンマカ,牡,2,55.0,津村 明秀,高橋 一哉(栗東),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
4,4,フェイスリフト,牡,2,55.0,丸田 恭介,嘉藤 貴行(美浦),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
5,5,ヤマメライズ,牡,2,55.0,戸崎 圭太,田島 俊明(美浦),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
6,6,ノベンバーベイズ,牝,2,55.0,菊沢 一樹,岩戸 孝樹(美浦),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
7,7,ライヴマルガリータ,牝,2,55.0,木幡 巧也,牧 光二(美浦),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
8,8,ステキサプライズ,牡,2,55.0,柴田 大知,粕谷 昌央(美浦),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
8,9,ロココ,牝,2,55.0,丸山 元気,根本 康広(美浦),2503020304,2025年7月5日（土）,福島,11:45,サラ系2歳新馬,4R,芝1200,新馬
